video_id,limb_explosiveness,max_opening_angle,inversion_ratio,beat_hit_rate,beat_avg_error_sec,beat_variance,peak_trough_control_ratio,kinetic_energy_cv,cog_total_distance,convex_hull_coverage,Score_CleanExecution,Score_HighDifficulty,Score_BeatPrecision,Score_MusicSync,Score_RhythmRichness,Score_BodyControl,Score_StageSpace,total_score
58,47.36,58.56,0.0,0.893,0.058,0.00134,732.75,1.24,11074.08,0.0731,7.8,7.0,7.9,7.8,7.9,7.0,7.5,75.35
59,35.65,47.95,0.0,1.0,0.062,0.00139,528.35,4.28,5684.12,0.0129,7.9,7.4,7.7,7.7,7.7,7.0,7.5,75.82
60,72.1,80.65,0.0,0.953,0.058,0.00207,419.5,2.62,14972.61,0.1267,8.9,7.9,8.8,8.9,9.0,8.9,8.5,86.43
61,66.67,66.31,0.0,0.974,0.058,0.00145,535.09,1.54,9173.0,0.0261,8.0,7.4,8.1,8.0,7.6,8.0,7.5,77.82
62,43.19,77.79,0.0,0.987,0.084,0.00152,627.93,1.93,8725.08,0.0154,7.3,7.1,7.7,7.6,7.6,7.1,7.0,73.23
63,57.85,60.28,0.0,0.949,0.072,0.00152,1349.21,1.68,9247.81,0.037,7.8,7.3,7.7,7.6,7.7,7.1,7.0,74.85
64,73.91,60.6,0.0,0.949,0.065,0.00202,366.15,1.85,11944.1,0.0368,7.7,7.3,7.7,7.2,7.0,7.1,7.0,73.32
65,62.15,58.1,0.0167,0.985,0.058,0.00185,685.43,4.71,9951.51,0.0743,7.6,7.5,7.8,7.4,7.5,7.1,7.0,74.49
66,43.91,60.03,0.0,0.971,0.043,0.00105,403.71,2.03,7898.38,0.0478,7.9,7.2,8.0,8.0,7.5,7.7,7.6,76.73
67,73.18,65.14,0.0,0.964,0.055,0.00185,758.23,1.66,12138.82,0.0422,7.9,7.5,7.2,7.2,7.8,7.9,7.5,75.93
68,30.12,53.99,0.0,0.986,0.057,0.002,655.09,2.87,6808.8,0.0244,5.8,5.8,5.8,5.8,5.8,5.8,5.8,58.0
69,60.28,56.73,0.0,0.931,0.054,0.00155,16879.19,31.11,11042.13,0.3599,6.3,6.5,6.1,6.1,6.0,6.2,6.5,62.7
70,86.36,90.46,0.0047,0.93,0.064,0.00176,7449.88,26.94,14135.8,0.3804,7.0,7.8,7.1,7.0,7.0,6.8,7.0,71.62
71,46.22,58.32,0.0,0.928,0.048,0.00132,558.61,4.05,7315.19,0.023,8.1,7.0,8.1,8.0,7.8,8.3,7.8,78.06
72,34.36,63.41,0.0,0.953,0.057,0.00164,409.42,1.76,6468.52,0.0312,7.9,7.0,7.8,7.8,7.8,7.3,7.8,75.96
73,56.27,84.88,0.0,0.971,0.06,0.00138,162.05,1.69,6528.35,0.0297,6.7,6.4,6.9,7.0,6.9,6.3,7.0,67.08
74,41.04,87.81,0.0,1.0,0.053,0.00142,335.55,2.58,9205.87,0.0201,6.4,6.4,6.2,6.4,6.9,6.3,6.9,64.79
75,61.38,78.93,0.0,0.986,0.051,0.00158,1808.19,2.91,10487.2,0.0343,7.1,7.0,7.3,6.8,6.9,6.4,6.9,69.46
76,82.88,168.3,0.0033,0.985,0.054,0.00137,737.73,12.26,18375.29,0.3793,7.9,7.8,7.8,8.0,7.2,7.8,8.6,78.6
77,32.52,64.53,0.0,0.938,0.059,0.00173,104.84,1.62,7062.86,0.0326,6.4,6.2,6.1,6.2,6.8,7.0,6.8,64.52
78,79.19,75.99,0.0,1.0,0.052,0.00133,343.31,3.72,14292.57,0.1597,8.3,7.9,7.8,7.9,7.5,8.8,7.9,80.23
79,66.37,55.46,0.0,0.973,0.055,0.00157,343.52,1.77,11407.24,0.0449,7.7,7.2,7.8,7.9,7.5,7.9,7.5,76.05
80,74.92,90.25,0.0,0.945,0.064,0.00161,240.94,2.39,11152.58,0.0406,7.9,7.4,7.8,7.9,7.5,7.9,7.5,76.9
81,64.52,83.39,0.0008,0.783,0.049,0.00135,379.87,2.02,13012.49,0.17,8.1,7.2,7.8,8.1,7.6,8.1,7.5,77.48
82,34.04,70.95,0.0,0.853,0.058,0.00149,364.59,1.69,7303.76,0.0511,8.1,7.2,7.8,8.1,7.6,8.1,7.5,77.48
83,54.69,82.01,0.0,0.861,0.053,0.00144,287.69,2.93,7742.22,0.0283,7.1,7.3,7.3,6.9,6.9,7.2,7.3,71.51
84,77.41,129.76,0.0,0.962,0.045,0.00137,370.27,2.6,10056.42,0.0697,7.1,7.3,6.9,6.9,6.9,7.2,7.2,70.93
85,49.6,98.14,0.0,0.959,0.041,0.00124,777.08,1.99,8843.44,0.0427,7.1,7.3,6.5,6.5,6.4,7.2,7.3,69.49
86,49.81,66.03,0.0,0.962,0.048,0.0017,1025.06,1.62,9378.63,0.0318,8.0,7.4,8.1,8.1,8.0,7.9,7.8,78.63
87,50.25,61.95,0.0,0.845,0.072,0.00196,325.18,1.37,8396.38,0.0282,6.0,6.1,5.9,5.8,5.8,5.8,7.4,60.9
88,62.32,82.84,0.0,0.889,0.064,0.00132,701.04,2.05,10693.49,0.0684,8.5,8.1,8.1,8.0,7.8,8.8,7.9,81.92
89,65.05,111.63,0.0,0.912,0.062,0.00183,571.3,2.46,12864.67,0.0878,8.5,8.1,8.5,8.5,8.2,8.8,7.9,83.46
90,75.97,73.46,0.0,0.823,0.054,0.00169,13503.25,19.57,10255.57,0.0928,7.7,7.5,7.5,7.1,7.1,7.2,7.1,73.73
91,54.61,70.34,0.0,0.889,0.054,0.00165,22018.22,16.66,15250.65,0.237,7.7,7.5,8.0,7.9,7.3,8.0,7.6,76.9
92,46.99,79.18,0.0,0.902,0.057,0.00171,213.93,1.75,10083.9,0.0372,7.9,7.3,7.3,7.5,7.1,7.6,7.4,74.71
93,62.11,63.74,0.0,0.983,0.073,0.00176,592.91,2.49,7726.62,0.034,7.4,7.5,7.4,7.5,7.4,7.5,7.3,74.33
94,51.51,71.41,0.0,0.939,0.071,0.0017,1447.55,1.33,9281.81,0.0332,6.5,6.5,6.4,6.1,6.2,6.9,6.4,64.37
95,43.0,42.39,0.0,0.955,0.062,0.00176,512.72,2.4,4943.05,0.0078,6.8,6.9,6.4,6.1,6.2,6.9,6.4,65.87
96,50.4,66.86,0.0,1.0,0.072,0.00182,758.41,1.59,8086.66,0.041,7.0,7.4,7.0,6.9,6.9,6.9,7.0,70.51
97,50.29,67.83,0.0,0.986,0.057,0.0016,511.11,1.61,7308.48,0.0309,6.7,7.3,7.0,6.9,6.7,6.9,7.0,69.42
98,41.01,62.46,0.0,0.96,0.051,0.00126,892.68,1.16,7269.47,0.0139,6.7,7.0,6.9,6.9,6.7,6.9,6.8,68.44
99,61.49,150.08,0.0108,0.986,0.055,0.00137,911.11,4.91,11770.2,0.1307,7.2,7.5,7.5,7.3,7.4,7.8,7.5,74.32
100,73.15,104.14,0.034,1.0,0.044,0.00114,711.42,1.96,13071.67,0.1682,8.0,7.7,7.8,7.8,7.3,7.8,7.8,77.62
